Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C3, C4, C5, C9",0603,8,100nF,C91183
"C12, C13",0603,2,22uF,C86295
"C7, C8",0603,2,19pF,C527046
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D7, D8, D9",0603,60,LED,C284922
"R1, R2",0603,2,4.7k,C23162
"R10, R8, R9",0603,3,22,C23345
R3,0603,1,100K,C25805
"R4, R5, R6, R7",0603,4,160,C22814
U1,LQFP-48_7x7mm_P0.5mm,1,STM32L071CBTx,C79758
U2,LGA-12_2x2mm_P0.5mm,1,BOSCH BMA400,C437655
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,3131M-32.768DTTLRRL,C42438016
