Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_CR2016,1,CR2016_Battery,
"C1, C10, C11, C12, C2, C4, C5, C8, C9",0603,9,100nF,
"C13, C14, C3",0603,3,10uF,
C15,0603,1,22uF,
"C6, C7",0603,2,15pF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D7, D8, D9",0603,60,LED,
L1,0603,1,2.2uH,
"Q1, Q2, Q3, Q4",SOT-23,4,2N7002H,
"R1, R2, R3",0603,3,100R,
"R10, R11, R12, R9",0603,4,47,
"R13, R14, R15, R16, R22, R4, R5, R8",0603,8,1M,
"R17, R18, R19, R20, R21",0603,5,10K,
R23,0603,1,68,
R24,0603,1,1K8,
R25,0603,1,39K,
R26,0603,1,560K,
R27,0603,1,510,
"R6, R7",0603,2,47K,
TP1,TestPoint_Pad_D1.0mm,1,SWD_nRST,
TP2,TestPoint_Pad_D1.0mm,1,SWD_CLK,
TP3,TestPoint_Pad_D1.0mm,1,SWD_IO,
TP4,TestPoint_Pad_D1.0mm,1,SWD_GND,
TP5,TestPoint_Pad_D1.0mm,1,SWD_BAT,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32L071CBTx,
U2,LGA-12_2x2mm_P0.5mm,1,~,
U3,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,1,TPS63900,
Y1,Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm,1,CR_32kHz,
