Designator,Mid X,Mid Y,Rotation,Layer
BT1,100.0,-106.2375,0.0,bottom
C1,95.2,-104.75,225.0,top
C10,107.25,-97.65,225.0,top
C11,103.85,-108.15,315.0,top
C12,102.75,-109.25,315.0,top
C13,101.65,-110.35,315.0,top
C14,103.0,-90.65,45.0,top
C15,97.4,-92.7,135.0,top
C2,112.3,-96.05,315.0,bottom
C3,108.05,-101.5,135.0,top
C4,104.0,-94.15,225.0,top
C5,93.5,-96.95,315.0,top
C6,107.728858,-94.944796,45.0,top
C7,106.6,-93.85,45.0,top
C8,106.95,-102.6,135.0,top
C9,97.4,-106.95,45.0,top
D1,88.092239,-89.229993,318.0,top
D10,101.655012,-84.023732,264.0,top
D11,103.309144,-84.285721,258.0,top
D12,104.926828,-84.719178,252.0,top
D13,106.490343,-85.319355,246.0,top
D14,107.982557,-86.079676,240.0,top
D15,109.387121,-86.991811,234.0,top
D16,110.688646,-88.045765,228.0,top
D17,111.872874,-89.229993,222.0,top
D18,112.926828,-90.531518,216.0,top
D19,113.838963,-91.936083,210.0,top
D2,89.276467,-88.045765,312.0,top
D20,114.599284,-93.428296,204.0,top
D21,115.199461,-94.991811,198.0,top
D22,115.632918,-96.609495,192.0,top
D23,115.894907,-98.263627,186.0,top
D24,115.982557,-99.936083,180.0,top
D25,115.894907,-101.608538,174.0,top
D26,115.632918,-103.26267,168.0,top
D27,115.199461,-104.880354,162.0,top
D28,114.599284,-106.443869,156.0,top
D29,113.838963,-107.936083,150.0,top
D3,90.577992,-86.991811,306.0,top
D30,112.926828,-109.340647,144.0,top
D31,111.872874,-110.642172,138.0,top
D32,110.688646,-111.8264,132.0,top
D33,109.387121,-112.880354,126.0,top
D34,107.982557,-113.792489,120.0,top
D35,106.490343,-114.55281,114.0,top
D36,104.926828,-115.152987,108.0,top
D37,103.309144,-115.586444,102.0,top
D38,101.655012,-115.848433,96.0,top
D39,99.982557,-115.936083,90.0,top
D4,91.982557,-86.079676,300.0,top
D40,98.310101,-115.848433,84.0,top
D41,96.655969,-115.586444,78.0,top
D42,95.038285,-115.152987,72.0,top
D43,93.47477,-114.55281,66.0,top
D44,91.982557,-113.792489,60.0,top
D45,90.577992,-112.880354,54.0,top
D46,89.276467,-111.8264,48.0,top
D47,88.092239,-110.642172,42.0,top
D48,87.038285,-109.340647,36.0,top
D49,86.12615,-107.936083,30.0,top
D5,93.47477,-85.319355,294.0,top
D50,85.365829,-106.443869,24.0,top
D51,84.765652,-104.880354,18.0,top
D52,84.332195,-103.26267,12.0,top
D53,84.070206,-101.608538,6.0,top
D54,83.982557,-99.936083,0.0,top
D55,84.070206,-98.263627,354.0,top
D56,84.332195,-96.609495,348.0,top
D57,84.765652,-94.991811,342.0,top
D58,85.365829,-93.428296,336.0,top
D59,86.12615,-91.936083,330.0,top
D6,95.038285,-84.719178,288.0,top
D60,87.038285,-90.531518,324.0,top
D7,96.655969,-84.285721,282.0,top
D8,98.310101,-84.023732,276.0,top
D9,99.982557,-83.936083,270.0,top
L1,102.85,-93.05,45.0,top
Q1,95.84195,-88.533876,225.0,bottom
Q2,93.402431,-90.973394,225.0,bottom
Q3,90.962913,-93.412913,225.0,bottom
Q4,88.541072,-95.817076,225.0,bottom
R1,111.1,-95.0,135.0,bottom
R10,91.439518,-89.010481,315.0,bottom
R11,89.039518,-91.410481,315.0,bottom
R12,86.589518,-93.860481,315.0,bottom
R13,100.803985,-89.796015,225.0,bottom
R14,101.9,-88.7,225.0,bottom
R15,102.996016,-87.603984,225.0,bottom
R16,104.092031,-86.507969,225.0,bottom
R17,97.85,-90.45,315.0,bottom
R18,95.4,-92.9,315.0,bottom
R19,92.95,-95.35,315.0,bottom
R2,109.6,-93.5,135.0,bottom
R20,90.5,-97.8,315.0,bottom
R21,90.0,-95.7,315.0,top
R22,91.15,-94.6,135.0,top
R23,91.3,-99.2,135.0,top
R24,92.4,-98.1,315.0,top
R25,102.0,-89.35,225.0,top
R26,100.9,-88.25,225.0,top
R27,99.104765,-92.895235,315.0,bottom
R3,106.65,-90.55,135.0,bottom
R4,94.0,-103.75,225.0,top
R5,109.2,-100.45,135.0,top
R6,96.2,-105.95,225.0,top
R7,98.246016,-110.496015,225.0,top
R8,97.15,-109.4,225.0,top
R9,93.889518,-86.610481,315.0,bottom
U1,100.0,-100.0,135.0,top
U2,100.0,-108.0,45.0,top
U3,100.0,-92.0,315.0,top
Y1,105.4,-96.2,315.0,top
