Designator,Mid X,Mid Y,Rotation,Layer
C1,53.806301,-50.775878,225.0,top
C10,52.714101,-64.618877,270.0,top
C11,52.739501,-49.709078,225.0,top
C12,60.2833,-57.176678,225.0,top
C13,59.20567,-56.099047,225.0,top
C2,45.043301,-53.341278,315.0,top
C3,48.650101,-64.618877,90.0,top
C4,49.005701,-49.378878,315.0,top
C5,57.413102,-59.945278,135.0,top
C7,46.262501,-48.769278,135.0,top
C8,44.433701,-50.598076,135.0,top
C9,50.682101,-66.854077,180.0,top
D1,49.035363,-73.167685,84.0,top
D10,62.697738,-67.92319,138.0,top
D11,63.759432,-66.612107,144.0,top
D12,64.678265,-65.197228,150.0,top
D13,65.444169,-63.694055,156.0,top
D14,66.048754,-62.119058,162.0,top
D15,66.485395,-60.489495,168.0,top
D16,66.749308,-58.823215,174.0,top
D17,66.837601,-57.138478,180.0,top
D18,66.749308,-55.45374,186.0,top
D19,66.485395,-53.78746,192.0,top
D2,50.720101,-73.255978,90.0,top
D20,66.048754,-52.157897,198.0,top
D21,65.44417,-50.5829,204.0,top
D22,64.678265,-49.079727,210.0,top
D23,63.759432,-47.664848,216.0,top
D24,62.697738,-46.353765,222.0,top
D25,61.504814,-45.160841,228.0,top
D26,60.19373,-44.099146,234.0,top
D27,58.778851,-43.180313,240.0,top
D28,57.275679,-42.414409,246.0,top
D29,55.700682,-41.809825,252.0,top
D3,52.404839,-73.167685,96.0,top
D30,54.071118,-41.373183,258.0,top
D31,52.404839,-41.10927,264.0,top
D32,50.720101,-41.020978,270.0,top
D33,49.035363,-41.109271,276.0,top
D34,47.369085,-41.373184,282.0,top
D35,45.73952,-41.809825,288.0,top
D36,44.164523,-42.414409,294.0,top
D37,42.661351,-43.180313,300.0,top
D38,41.246472,-44.099147,306.0,top
D39,39.935388,-45.16084,312.0,top
D4,54.071118,-72.903772,102.0,top
D40,38.742465,-46.353765,318.0,top
D41,37.68077,-47.664849,324.0,top
D42,36.761938,-49.079728,330.0,top
D43,35.996032,-50.5829,336.0,top
D44,35.391449,-52.157897,342.0,top
D45,34.954808,-53.787461,348.0,top
D46,34.690894,-55.45374,354.0,top
D47,34.602601,-57.138478,0.0,top
D48,34.690893,-58.823215,6.0,top
D49,34.954807,-60.489495,12.0,top
D5,55.700683,-72.467131,108.0,top
D50,35.391448,-62.119059,18.0,top
D51,35.996032,-63.694055,24.0,top
D52,36.761937,-65.197228,30.0,top
D53,37.680771,-66.612107,36.0,top
D54,38.742464,-67.923191,42.0,top
D55,39.935388,-69.116115,48.0,top
D56,41.246473,-70.177809,54.0,top
D57,42.661351,-71.096642,60.0,top
D58,44.164523,-71.862547,66.0,top
D59,45.73952,-72.467131,72.0,top
D6,57.275679,-71.862546,114.0,top
D60,47.369084,-72.903772,78.0,top
D7,58.778851,-71.096642,120.0,top
D8,60.19373,-70.177809,126.0,top
D9,61.504815,-69.116115,132.0,top
R1,55.254101,-62.078878,135.0,top
R10,50.555101,-47.550078,45.0,top
R2,56.331732,-61.022288,135.0,top
R3,51.647301,-48.642278,225.0,top
R4,44.7,-60.6,45.0,top
R5,43.617616,-59.517616,45.0,top
R6,42.535232,-58.435232,45.0,top
R7,41.452847,-57.352847,45.0,top
R8,58.109732,-55.003109,45.0,top
R9,57.032101,-53.925478,45.0,top
U1,50.720101,-57.138478,225.0,top
U2,50.6976,-64.822077,270.0,top
Y1,47.270102,-51.588478,45.0,top
